الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
فندق سيف,30.0457924,31.4022272,إقامة,"فندق سيف is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",155,
المنزل - أكتوبر,29.9518724,30.9213208,ثقافي,"المنزل - أكتوبر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",156,
احمد التهامى,29.956172,30.9387407,أخرى,"احمد التهامى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",157,
My home,30.0930635,31.1797531,إقامة,"My home is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",158,
Arch Valley CNC company,29.9449937,31.0486152,ثقافي,"Arch Valley CNC company is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",159,
Home,30.1040924,31.3174194,إقامة,"Home is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",160,
برج الدوحه 11 ش دجله,30.047909,31.1954244,أخرى,"برج الدوحه 11 ش دجله is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",161,
29 ش دجله,30.0500891,31.1973704,أخرى,"29 ش دجله is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",162,
ايجوث,30.0476021,31.2450357,ثقافي,"ايجوث is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",163,
تلة المقطم,30.0146046,31.2766469,أخرى,"تلة المقطم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",164,
وسط البلد,30.0887612,31.2898195,أخرى,"وسط البلد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",165,
Horus Eye Hostel,30.0493881,31.2416487,أخرى,"Horus Eye Hostel is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",166,
Coffee shop meeting place,30.0479282,31.2615444,أخرى,"Coffee shop meeting place is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",167,
اشرف,30.1293965,31.2740908,إقامة,"اشرف is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",168,
كشك ميسي,30.0466533,31.2172707,أخرى,"كشك ميسي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",169,
كومباوند الكرمه ريزيدنس مصر,30.0517604,30.9588135,أخرى,"كومباوند الكرمه ريزيدنس مصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",170,
Memar Almorshedy,29.985867,31.3212088,إقامة,"Memar Almorshedy is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",171,
Ramosa Guesthouse,29.9725122,31.1431362,أخرى,"Ramosa Guesthouse is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",172,
نبيل سمير,30.152013,31.3162418,أخرى,"نبيل سمير is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",173,
Mozart,30.0538978,31.1980511,ثقافي,"Mozart is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",174,
ميدان الإسماعيلية,30.0964749,31.3345308,أخرى,"ميدان الإسماعيلية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",175,
ميدان سفير,30.0977231,31.3384234,أخرى,"ميدان سفير is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",176,
أيمن سمير,30.143584,31.3122157,أخرى,"أيمن سمير is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",177,
بتروتريد,29.9777086,31.2784966,ثقافي,"بتروتريد is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",178,
عمارة باناسونيك,30.0935847,31.2363292,أخرى,"عمارة باناسونيك is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",179,
المصرية الالمانية للتجارة والطاقة الشمسية,29.9676708,31.14677,خدمات,المصرية الالمانية للتجارة والطاقة الشمسية is a service facility in Egypt that supports visitors and residents in the area.,180,
مستشفى ناصر,30.0965672,31.2406548,ثقافي,"مستشفى ناصر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",181,
مترو دقي,30.0386086,31.2122581,ثقافي,"مترو دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",182,
مترو بنات,30.0904104,31.3081285,أخرى,"مترو بنات is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",183,
رمسيس,30.0616901,31.2470284,ثقافي,"رمسيس is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",184,
العتبة,30.0509915,31.2499736,ثقافي,"العتبة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",185,
موقف العاشر,30.0487931,31.378874,ثقافي,"موقف العاشر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",186,
التعليم الخاص,30.0380547,31.3413567,ثقافي,"التعليم الخاص is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",187,
العودة,30.0532485,31.342352,ثقافي,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",188,
مركز الفتح,29.9633978,31.2582621,ثقافي,"مركز الفتح is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",189,
مصاري,30.0450738,31.2401143,ثقافي,"مصاري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",190,
محل اواعي,30.0508375,31.2424482,ثقافي,"محل اواعي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",191,
عمارتنا,30.076318,31.3359479,إقامة,"عمارتنا is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",192,
دقي,30.0389658,31.2099693,ثقافي,"دقي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",193,
تركترون,30.0461664,31.3547934,ثقافي,"تركترون is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",194,
اول الشارع,30.0684326,31.3363238,ثقافي,"اول الشارع is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",195,
